
RETE REPORT      ID BREVE           DESCRIZIONE                                        UNITA  VALEN  KIND     
  14 POLLINI    382 POLS23          Chenopodiacee - Amarantacee Indistinte             NUM    P1440  RILE     
  14 POLLINI    383 POLS24          Poligonacee                                        NUM    P1440  RILE     
  14 POLLINI    384 POLS25          Euphorbiacee                                       NUM    P1440  RILE     
  14 POLLINI    385 POLS26          Mirtacee                                           NUM    P1440  RILE     
  14 POLLINI    386 POLS27          Ulmacee                                            NUM    P1440  RILE     
  14 POLLINI    387 POLS28          Ulmacee                                            NUM    P1440  RILE     
  14 POLLINI    388 POLS29          Ulmacee                                            NUM    P1440  RILE     
  14 POLLINI    389 POLS30          Platanacee                                         NUM    P1440  RILE     
  14 POLLINI    390 POLS31          Aceraceae                                          NUM    P1440  RILE     
  14 POLLINI    391 POLS32          Pinacee                                            NUM    P1440  RILE     
  14 POLLINI    392 POLS33          Salicacee                                          NUM    P1440  RILE     
  14 POLLINI    393 POLS34          Salicacee                                          NUM    P1440  RILE     
  14 POLLINI    394 POLS35          Salicacee                                          NUM    P1440  RILE     
  14 POLLINI    395 POLS36          Ciperacee                                          NUM    P1440  RILE     
  14 POLLINI    396 POLS37          Juglandacee                                        NUM    P1440  RILE     
  14 POLLINI    397 POLS38          Ippocastanacee                                     NUM    P1440  RILE     
  14 POLLINI    398 POLS39          Spore fungine                                      NUM    P1440  RILE     
  14 POLLINI    399 POLS40          Spore fungine                                      NUM    P1440  RILE     
  14 POLLINI    400 POLS41          Spore fungine                                      NUM    P1440  RILE     
  14 POLLINI    401 POLS42          Spore fungine                                      NUM    P1440  RILE     
  14 POLLINI    402 POLS43          Spore fungine                                      NUM    P1440  RILE     
  14 POLLINI    513 POLS44          Altri Pollini / Non Identificati                   NUM    P1440  RILE     
  14 POLLINI    514 POLS45          Altri Pollini / Non Identificati                   NUM    P1440  RILE     
  14 POLLINI    515 POLS46          Altri Pollini / Non Identificati                   NUM    P1440  RILE     
  14 POLLINI    516 POLS47          Altri Pollini / Non Identificati                   NUM    P1440  RILE     
  14 POLLINI    538 POLS48          Graminacee                                         NUM    P1440  RILE     
  14 POLLINI    539 POLS49          Plantaginacee                                      NUM    P1440  RILE     
  14 POLLINI    540 POLS50          Urticacee                                          NUM    P1440  RILE     
  14 POLLINI    541 POLS51          Poligonacee                                        NUM    P1440  RILE     
  14 POLLINI    542 POLS52          Euphorbiacee                                       NUM    P1440  RILE     
  14 POLLINI    543 POLS53          Mirtacee                                           NUM    P1440  RILE     
  14 POLLINI    544 POLS54          Platanacee                                         NUM    P1440  RILE     
  14 POLLINI    545 POLS55          Aceraceae                                          NUM    P1440  RILE     
  14 POLLINI    546 POLS56          Pinacee                                            NUM    P1440  RILE     
  14 POLLINI    547 POLS57          Ciperacee                                          NUM    P1440  RILE     
  14 POLLINI    548 POLS58          Juglandacee                                        NUM    P1440  RILE     
  14 POLLINI    549 POLS59          Ippocastanacee                                     NUM    P1440  RILE     
  14 POLLINI    569 POLS1           Graminacee                                         NUM    P1440  RILE     
  14 POLLINI    570 POLS2           Betulacee                                          NUM    P1440  RILE     
  14 POLLINI    571 POLS3           Betulacee                                          NUM    P1440  RILE     
  14 POLLINI    572 POLS4           Betulacee                                          NUM    P1440  RILE     
  14 POLLINI    573 POLS5           Composite                                          NUM    P1440  RILE     
  14 POLLINI    574 POLS6           Composite                                          NUM    P1440  RILE     
  14 POLLINI    575 POLS7           Composite                                          NUM    P1440  RILE     
  14 POLLINI    576 POLS8           Corilacee                                          NUM    P1440  RILE     
  14 POLLINI    577 POLS9           Corilacee                                          NUM    P1440  RILE     
  14 POLLINI    578 POLS10          Corilacee                                          NUM    P1440  RILE     
  14 POLLINI    579 POLS11          Fagacee                                            NUM    P1440  RILE     
  14 POLLINI    580 POLS12          Fagacee                                            NUM    P1440  RILE     
  14 POLLINI    581 POLS13          Fagacee                                            NUM    P1440  RILE     
  14 POLLINI    582 POLS14          Fagacee                                            NUM    P1440  RILE     
  14 POLLINI    583 POLS15          Oleacee                                            NUM    P1440  RILE     
  14 POLLINI    584 POLS16          Oleacee                                            NUM    P1440  RILE     
  14 POLLINI    585 POLS17          Oleacee                                            NUM    P1440  RILE     
  14 POLLINI    586 POLS18          Plantaginacee                                      NUM    P1440  RILE     
  14 POLLINI    587 POLS19          Urticacee                                          NUM    P1440  RILE     
  14 POLLINI    588 POLS20          Cupressacee - Taxacee indistinte                   NUM    P1440  RILE     
  14 POLLINI    589 POLS21          Cupressacee - Taxacee indistinte                   NUM    P1440  RILE     
  14 POLLINI    590 POLS22          Chenopodiacee - Amarantacee Indistinte             NUM    P1440  RILE     
  14 POLLINI    591 POLS23          Chenopodiacee - Amarantacee Indistinte             NUM    P1440  RILE     
  14 POLLINI    592 POLS24          Poligonacee                                        NUM    P1440  RILE     
  14 POLLINI    593 POLS25          Euphorbiacee                                       NUM    P1440  RILE     
  14 POLLINI    594 POLS26          Mirtacee                                           NUM    P1440  RILE     
  14 POLLINI    595 POLS27          Ulmacee                                            NUM    P1440  RILE     
  14 POLLINI    596 POLS28          Ulmacee                                            NUM    P1440  RILE     
  14 POLLINI    597 POLS29          Ulmacee                                            NUM    P1440  RILE     
  14 POLLINI    598 POLS30          Platanacee                                         NUM    P1440  RILE     
  14 POLLINI    599 POLS31          Aceraceae                                          NUM    P1440  RILE     
  14 POLLINI    600 POLS32          Pinacee                                            NUM    P1440  RILE     
  14 POLLINI    601 POLS33          Salicacee                                          NUM    P1440  RILE     
  14 POLLINI    602 POLS34          Salicacee                                          NUM    P1440  RILE     
  14 POLLINI    603 POLS35          Salicacee                                          NUM    P1440  RILE     
  14 POLLINI    604 POLS36          Ciperacee                                          NUM    P1440  RILE     
  14 POLLINI    605 POLS37          Juglandacee                                        NUM    P1440  RILE     
  14 POLLINI    606 POLS38          Ippocastanacee                                     NUM    P1440  RILE     
  14 POLLINI    607 POLS39          Spore fungine                                      NUM    P1440  RILE     
  14 POLLINI    608 POLS40          Spore fungine                                      NUM    P1440  RILE     
  14 POLLINI    609 POLS41          Spore fungine                                      NUM    P1440  RILE     
  14 POLLINI    610 POLS42          Spore fungine                                      NUM    P1440  RILE     
  14 POLLINI    611 POLS43          Spore fungine                                      NUM    P1440  RILE     
  14 POLLINI    612 POLS44          Altri Pollini / Non Identificati                   NUM    P1440  RILE     
  14 POLLINI    613 POLS45          Altri Pollini / Non Identificati                   NUM    P1440  RILE     
  14 POLLINI    614 POLS46          Altri Pollini / Non Identificati                   NUM    P1440  RILE     
  14 POLLINI    615 POLS47          Altri Pollini / Non Identificati                   NUM    P1440  RILE     
  14 POLLINI    616 POLS48          Graminacee                                         NUM    P1440  RILE     
  14 POLLINI    617 POLS49          Plantaginacee                                      NUM    P1440  RILE     
  14 POLLINI    618 POLS50          Urticacee                                          NUM    P1440  RILE     
  14 POLLINI    619 POLS51          Poligonacee                                        NUM    P1440  RILE     
  14 POLLINI    620 POLS52          Euphorbiacee                                       NUM    P1440  RILE     
  14 POLLINI    621 POLS53          Mirtacee                                           NUM    P1440  RILE     
  14 POLLINI    622 POLS54          Platanacee                                         NUM    P1440  RILE     
  14 POLLINI    623 POLS55          Aceraceae                                          NUM    P1440  RILE     
  14 POLLINI    624 POLS56          Pinacee                                            NUM    P1440  RILE     
  14 POLLINI    625 POLS57          Ciperacee                                          NUM    P1440  RILE     
  14 POLLINI    626 POLS58          Juglandacee                                        NUM    P1440  RILE     
  14 POLLINI    627 POLS59          Ippocastanacee                                     NUM    P1440  RILE     
  15 URBANE      77 LISTT1          Temperatura aria                                   GC     P5     RILE     
  15 URBANE      78 LMEDT1          Temperatura media aria                             GC     P60    RILE     
  15 URBANE      79 LVMNT1          Temperatura minima aria                            GC     P60    RILE     
  15 URBANE      80 LVMXT1          Temperatura massima aria                           GC     P60    RILE     
  15 URBANE      81 LHMNT1          Ora del minimo                                     HHMN   P60    RILE     
  15 URBANE      82 LHMXT1          Ora del massimo                                    HHMN   P60    RILE     
  15 URBANE      99 LHMNUM          Ora del minimo                                     HHMN   P60    RILE     
  15 URBANE     100 LHMXUM          Ora del massimo                                    HHMN   P60    RILE     
  15 URBANE     114 LPRECI          Precipitazione cumulata nel periodo                MM     P60    RILE     
  15 URBANE     139 UM180           Umidita' percentuale                               PERC   P5     RILE     
  15 URBANE     140 UM180ME         Umidita' percentuale media                         PERC   P60    RILE     
  15 URBANE     141 UM180MN         Umidita' percentuale minima                        PERC   P60    RILE     
  15 URBANE     142 UM180MX         Umidita' percentuale massima                       PERC   P60    RILE     
  15 URBANE     144 BAGNA           Bagnatura fogliare                                 MN     P60    RILE     
  15 URBANE     403 TDEV            deviazione standard                                GC     P60    RILE     
  15 URBANE     404 TMIN_M          Temperatura aria                                   GC     P60    RILE     
  15 URBANE     405 TMAX_M          Temperatura aria                                   GC     P60    RILE     
  15 URBANE     406 UML1H_DEV       Umidita' percentuale                               PERC   P60    RILE     
  15 URBANE     409 RAVUAV          radiazione visibile                                RADWM  P60    RILE     
  15 URBANE     410 RAVUMN          radiazione visibile                                RADWM  P60    RILE     
  15 URBANE     411 RAVUMX          radiazione visibile                                RADWM  P60    RILE     
  15 URBANE     412 RAVUIT          radiazione visibile                                MJ     P60    RILE     
  15 URBANE     413 RAVUMJ          radiazione visibile                                MJ     P60    RILE     
  15 URBANE     414 RAVDAV          radiazione visibile                                RADWM  P60    RILE     
  15 URBANE     415 RAVDMN          radiazione visibile                                RADWM  P60    RILE     
  15 URBANE     416 RAVDMX          radiazione visibile                                RADWM  P60    RILE     
  15 URBANE     417 RAVDIT          radiazione visibile                                MJ     P60    RILE     
  15 URBANE     418 RAVDMJ          radiazione visibile                                MJ     P60    RILE     
  15 URBANE     419 RAIUAV          radiazione infrarossa                              RADWM  P60    RILE     
  15 URBANE     420 RAIUMN          radiazione infrarossa                              RADWM  P60    RILE     
  15 URBANE     421 RAIUMX          radiazione infrarossa                              RADWM  P60    RILE     
  15 URBANE     422 RAIUIT          radiazione infrarossa                              RADWM  P60    RILE     
  15 URBANE     423 RAIDAV          radiazione infrarossa                              RADWM  P60    RILE     
  15 URBANE     424 RAIDMN          radiazione infrarossa                              RADWM  P60    RILE     
  15 URBANE     425 RAIDMX          radiazione infrarossa                              RADWM  P60    RILE     
  15 URBANE     426 RAIDIT          radiazione infrarossa                              RADWM  P60    RILE     
  15 URBANE     427 PREC15          Precipitazione cumulata nel periodo                MM     P60    RILE     
  15 URBANE     431 FFVAVG          Intensita' vento                                   MSEC   P60    RILE     
  15 URBANE     432 FFVDEV          Intensita' vento                                   MSEC   P60    RILE     
  15 URBANE     433 FFVMAX          Intensita' vento                                   MSEC   P60    RILE     
  15 URBANE     434 FFVMIN          Intensita' vento                                   MSEC   P60    RILE     
  15 URBANE     435 FFSAVG          Intensita' vento                                   MSEC   P60    RILE     
  15 URBANE     436 FFSDEV          Intensita' vento                                   MSEC   P60    RILE     
  15 URBANE     437 FFSMAX          Intensita' vento                                   MSEC   P60    RILE     
  15 URBANE     438 FFSMIN          Intensita' vento                                   MSEC   P60    RILE     
  15 URBANE     439 FFSA10          Intensita' vento                                   MSEC   P60    RILE     
  15 URBANE     440 DDVAVG          Direzione vento                                    GSES   P60    RILE     
  15 URBANE     441 DDVDEV          Direzione vento                                    GSES   P60    RILE     
  15 URBANE     442 DDSA10          Direzione vento                                    GSES   P60    RILE     
  15 URBANE     444 PAV             Pressione aria a livello mare                      HPA    P60    RILE     
  15 URBANE     445 PDEV            Pressione aria a livello mare                      HPA    P60    RILE     
  15 URBANE     446 PMN             Pressione aria a livello mare                      HPA    P60    RILE     
  15 URBANE     447 PMX             Pressione aria a livello mare                      HPA    P60    RILE     
  15 URBANE     448 EXDC            tensione di alimenta                               VOLT   P60    RILE     
  15 URBANE     449 ERROR           errori                                             NUM    P60    RILE     
  15 URBANE     450 ALARM           allarmi                                            NUM    P60    RILE     
  15 URBANE     451 TINT            temperatura interna                                GC     P60    RILE     
  15 URBANE     452 SSTT            stato del barometro                                STR    P60    RILE     
  15 URBANE     453 SSUR            stato del barometro                                STR    P60    RILE     
  15 URBANE     454 SSRAVU          stato del barometro                                STR    P60    RILE     
  15 URBANE     455 SSRAVD          stato del barometro                                STR    P60    RILE     
  15 URBANE     456 SSRAIU          stato del barometro                                STR    P60    RILE     
  15 URBANE     457 SSRAID          stato del barometro                                STR    P60    RILE     
  15 URBANE     458 SSPR            stato del barometro                                STR    P60    RILE     
  15 URBANE     459 SSWIND          stato del barometro                                STR    P60    RILE     
  15 URBANE     460 SSP             stato del barometro                                STR    P60    RILE     
  15 URBANE     461 SSLW            stato del barometro                                STR    P60    RILE     
  16 NURBAN      77 LISTT1          Temperatura aria                                   GC     P5     RILE     
  16 NURBAN      78 LMEDT1          Temperatura media aria                             GC     P60    RILE     
  16 NURBAN      79 LVMNT1          Temperatura minima aria                            GC     P60    RILE     
  16 NURBAN      80 LVMXT1          Temperatura massima aria                           GC     P60    RILE     
  16 NURBAN      81 LHMNT1          Ora del minimo                                     HHMN   P60    RILE     
  16 NURBAN      82 LHMXT1          Ora del massimo                                    HHMN   P60    RILE     
  16 NURBAN      99 LHMNUM          Ora del minimo                                     HHMN   P60    RILE     
  16 NURBAN     100 LHMXUM          Ora del massimo                                    HHMN   P60    RILE     
  16 NURBAN     114 LPRECI          Precipitazione cumulata nel periodo                MM     P60    RILE     
  16 NURBAN     139 UM180           Umidita' percentuale                               PERC   P5     RILE     
  16 NURBAN     140 UM180ME         Umidita' percentuale media                         PERC   P60    RILE     
  16 NURBAN     141 UM180MN         Umidita' percentuale minima                        PERC   P60    RILE     
  16 NURBAN     142 UM180MX         Umidita' percentuale massima                       PERC   P60    RILE     
  16 NURBAN     144 BAGNA           Bagnatura fogliare                                 MN     P60    RILE     
  16 NURBAN     167 P0P0            Pressione aria a livello stazione istantanea       HPA    P5     RILE     
  16 NURBAN     403 TDEV            deviazione standard                                GC     P60    RILE     
  16 NURBAN     404 TMIN_M          Temperatura aria                                   GC     P60    RILE     
  16 NURBAN     405 TMAX_M          Temperatura aria                                   GC     P60    RILE     
  16 NURBAN     406 UML1H_DEV       Umidita' percentuale                               PERC   P60    RILE     
  16 NURBAN     409 RAVUAV          radiazione visibile                                RADWM  P60    RILE     
  16 NURBAN     410 RAVUMN          radiazione visibile                                RADWM  P60    RILE     
  16 NURBAN     411 RAVUMX          radiazione visibile                                RADWM  P60    RILE     
  16 NURBAN     412 RAVUIT          radiazione visibile                                MJ     P60    RILE     
  16 NURBAN     413 RAVUMJ          radiazione visibile                                MJ     P60    RILE     
  16 NURBAN     427 PREC15          Precipitazione cumulata nel periodo                MM     P60    RILE     
  16 NURBAN     431 FFVAVG          Intensita' vento                                   MSEC   P60    RILE     
  16 NURBAN     432 FFVDEV          Intensita' vento                                   MSEC   P60    RILE     
  16 NURBAN     433 FFVMAX          Intensita' vento                                   MSEC   P60    RILE     
  16 NURBAN     434 FFVMIN          Intensita' vento                                   MSEC   P60    RILE     
  16 NURBAN     435 FFSAVG          Intensita' vento                                   MSEC   P60    RILE     
  16 NURBAN     436 FFSDEV          Intensita' vento                                   MSEC   P60    RILE     
  16 NURBAN     437 FFSMAX          Intensita' vento                                   MSEC   P60    RILE     
  16 NURBAN     438 FFSMIN          Intensita' vento                                   MSEC   P60    RILE     
  16 NURBAN     439 FFSA10          Intensita' vento                                   MSEC   P60    RILE     
  16 NURBAN     440 DDVAVG          Direzione vento                                    GSES   P60    RILE     
  16 NURBAN     441 DDVDEV          Direzione vento                                    GSES   P60    RILE     
  16 NURBAN     442 DDSA10          Direzione vento                                    GSES   P60    RILE     
  16 NURBAN     444 PAV             Pressione aria a livello mare                      HPA    P60    RILE     
  16 NURBAN     445 PDEV            Pressione aria a livello mare                      HPA    P60    RILE     
  16 NURBAN     446 PMN             Pressione aria a livello mare                      HPA    P60    RILE     
  16 NURBAN     447 PMX             Pressione aria a livello mare                      HPA    P60    RILE     
  16 NURBAN     448 EXDC            tensione di alimenta                               VOLT   P60    RILE     
  16 NURBAN     449 ERROR           errori                                             NUM    P60    RILE     
  16 NURBAN     450 ALARM           allarmi                                            NUM    P60    RILE     
  16 NURBAN     451 TINT            temperatura interna                                GC     P60    RILE     
  16 NURBAN     452 SSTT            stato del barometro                                STR    P60    RILE     
  16 NURBAN     453 SSUR            stato del barometro                                STR    P60    RILE     
  16 NURBAN     454 SSRAVU          stato del barometro                                STR    P60    RILE     
  16 NURBAN     458 SSPR            stato del barometro                                STR    P60    RILE     
  16 NURBAN     459 SSWIND          stato del barometro                                STR    P60    RILE     
  16 NURBAN     460 SSP             stato del barometro                                STR    P60    RILE     
  16 NURBAN     461 SSLW            stato del barometro                                STR    P60    RILE     
  17 FIDUMA     139 UM180           Umidita' percentuale                               PERC   P5     RILE     
  17 FIDUMA     158 TATA            Temperatura aria                                   GC     P5     RILE     
  17 FIDUMA     159 PRECI           Precipitazione cumulata nel periodo                MM     P30    RILE     
  17 FIDUMA     161 IDRO            Livello idrometrico                                M      P5     RILE     
  17 FIDUMA     162 SSM             strato nevoso                                      M      P5     RILE     
  17 FIDUMA     164 RADDIR          Radiazione diretta                                 RADWM  P30    RILE     
  17 FIDUMA     165 DD              Direzione vento                                    GSES   P5     RILE     
  17 FIDUMA     166 FF              Intensita' vento                                   MSEC   P5     RILE     
  17 FIDUMA     167 P0P0            Pressione aria a livello stazione istantanea       HPA    P5     RILE     
  17 FIDUMA     512 POR                                                                MCS    P60    RILE     
  18 FIDUPO      89 LISTTS          Temperatura instantanea suolo                      GC     P5     RILE     
  18 FIDUPO     139 UM180           Umidita' percentuale                               PERC   P5     RILE     
  18 FIDUPO     158 TATA            Temperatura aria                                   GC     P5     RILE     
  18 FIDUPO     159 PRECI           Precipitazione cumulata nel periodo                MM     P30    RILE     
  18 FIDUPO     161 IDRO            Livello idrometrico                                M      P5     RILE     
  18 FIDUPO     162 SSM             strato nevoso                                      M      P5     RILE     
  18 FIDUPO     164 RADDIR          Radiazione diretta                                 RADWM  P30    RILE     
  18 FIDUPO     165 DD              Direzione vento                                    GSES   P5     RILE     
  18 FIDUPO     166 FF              Intensita' vento                                   MSEC   P5     RILE     
  18 FIDUPO     167 P0P0            Pressione aria a livello stazione istantanea       HPA    P5     RILE     
  18 FIDUPO     169 TW              Temperatura istantanea dell' acqua                 GC     P5     RILE     
  18 FIDUPO     172 PRECI           Precipitazione cumulata nel periodo                MM     P15    RILE     
  18 FIDUPO     351 FFRAFF          Intensita' vento                                   KMHH   P5     RILE     
  18 FIDUPO     353 DDRAFF          Direzione vento                                    GSES   P5     RILE     
  18 FIDUPO     357 RADRIFL         Radiazione solare                                  RADCC  P60    RILE     
  18 FIDUPO     512 POR                                                                MCS    P60    RILE     
  19 ICIRFE     158 TATA            Temperatura aria                                   GC     P5     RILE     
  19 ICIRFE     159 PRECI           Precipitazione cumulata nel periodo                MM     P30    RILE     
  19 ICIRFE     160 PRECI           Precipitazione cumulata nel periodo                MM     P60    RILE     
  19 ICIRFE     161 IDRO            Livello idrometrico                                M      P5     RILE     
  19 ICIRFE     172 PRECI           Precipitazione cumulata nel periodo                MM     P15    RILE     
  19 ICIRFE     512 POR                                                                MCS    P60    RILE     
  20 SIMNBO     139 UM180           Umidita' percentuale                               PERC   P5     RILE     
  20 SIMNBO     158 TATA            Temperatura aria                                   GC     P5     RILE     
  20 SIMNBO     159 PRECI           Precipitazione cumulata nel periodo                MM     P30    RILE     
  20 SIMNBO     160 PRECI           Precipitazione cumulata nel periodo                MM     P60    RILE     
  20 SIMNBO     161 IDRO            Livello idrometrico                                M      P5     RILE     
  20 SIMNBO     162 SSM             strato nevoso                                      M      P5     RILE     
  20 SIMNBO     164 RADDIR          Radiazione diretta                                 RADWM  P30    RILE     
  20 SIMNBO     165 DD              Direzione vento                                    GSES   P5     RILE     
  20 SIMNBO     166 FF              Intensita' vento                                   MSEC   P5     RILE     
  20 SIMNBO     167 P0P0            Pressione aria a livello stazione istantanea       HPA    P5     RILE     
  20 SIMNBO     169 TW              Temperatura istantanea dell' acqua                 GC     P5     RILE     
  20 SIMNBO     172 PRECI           Precipitazione cumulata nel periodo                MM     P15    RILE     
  20 SIMNBO     351 FFRAFF          Intensita' vento                                   KMHH   P5     RILE     
  20 SIMNBO     353 DDRAFF          Direzione vento                                    GSES   P5     RILE     
  20 SIMNBO     427 PREC15          Precipitazione cumulata nel periodo                MM     P60    RILE     
  20 SIMNBO     512 POR                                                                MCS    P60    RILE     
  21 SIMNPR     139 UM180           Umidita' percentuale                               PERC   P5     RILE     
  21 SIMNPR     158 TATA            Temperatura aria                                   GC     P5     RILE     
  21 SIMNPR     159 PRECI           Precipitazione cumulata nel periodo                MM     P30    RILE     
  21 SIMNPR     160 PRECI           Precipitazione cumulata nel periodo                MM     P60    RILE     
  21 SIMNPR     161 IDRO            Livello idrometrico                                M      P5     RILE     
  21 SIMNPR     162 SSM             strato nevoso                                      M      P5     RILE     
  21 SIMNPR     164 RADDIR          Radiazione diretta                                 RADWM  P30    RILE     
  21 SIMNPR     165 DD              Direzione vento                                    GSES   P5     RILE     
  21 SIMNPR     166 FF              Intensita' vento                                   MSEC   P5     RILE     
  21 SIMNPR     167 P0P0            Pressione aria a livello stazione istantanea       HPA    P5     RILE     
  21 SIMNPR     169 TW              Temperatura istantanea dell' acqua                 GC     P5     RILE     
  21 SIMNPR     172 PRECI           Precipitazione cumulata nel periodo                MM     P15    RILE     
  21 SIMNPR     351 FFRAFF          Intensita' vento                                   KMHH   P5     RILE     
  21 SIMNPR     353 DDRAFF          Direzione vento                                    GSES   P5     RILE     
  21 SIMNPR     512 POR                                                                MCS    P60    RILE     
  22 SPDSRA     158 TATA            Temperatura aria                                   GC     P5     RILE     
  22 SPDSRA     159 PRECI           Precipitazione cumulata nel periodo                MM     P30    RILE     
  22 SPDSRA     160 PRECI           Precipitazione cumulata nel periodo                MM     P60    RILE     
  22 SPDSRA     161 IDRO            Livello idrometrico                                M      P5     RILE     
  22 SPDSRA     165 DD              Direzione vento                                    GSES   P5     RILE     
  22 SPDSRA     166 FF              Intensita' vento                                   MSEC   P5     RILE     
  22 SPDSRA     172 PRECI           Precipitazione cumulata nel periodo                MM     P15    RILE     
  22 SPDSRA     512 POR                                                                MCS    P60    RILE     
  23 EMLOKM     220 PRECI           Precipitazione cumulata nel periodo                DMM    P60    RILE     
  23 EMLOKM     221 TATA            Temperatura aria                                   GC10   P60    RILE     
  23 EMLOKM     222 DD              Direzione vento                                    GT     P60    RILE     
  23 EMLOKM     223 FF              Intensita' vento                                   DMSEC  P60    RILE     
  23 EMLOKM     224 UMID            Umidita' percentuale                               PERC   P60    RILE     
  23 EMLOKM     225 TMAX            Temperatura massima aria                           GC10   P60    RILE     
  23 EMLOKM     226 TMIN            Temperatura minima aria                            GC10   P60    RILE     
  24 LILOKM     220 PRECI           Precipitazione cumulata nel periodo                DMM    P60    RILE     
  24 LILOKM     221 TATA            Temperatura aria                                   GC10   P60    RILE     
  24 LILOKM     222 DD              Direzione vento                                    GT     P60    RILE     
  24 LILOKM     223 FF              Intensita' vento                                   DMSEC  P60    RILE     
  24 LILOKM     224 UMID            Umidita' percentuale                               PERC   P60    RILE     
  24 LILOKM     225 TMAX            Temperatura massima aria                           GC10   P60    RILE     
  24 LILOKM     226 TMIN            Temperatura minima aria                            GC10   P60    RILE     
  25 PILOKM     220 PRECI           Precipitazione cumulata nel periodo                DMM    P60    RILE     
  25 PILOKM     221 TATA            Temperatura aria                                   GC10   P60    RILE     
  25 PILOKM     222 DD              Direzione vento                                    GT     P60    RILE     
  25 PILOKM     223 FF              Intensita' vento                                   DMSEC  P60    RILE     
  25 PILOKM     224 UMID            Umidita' percentuale                               PERC   P60    RILE     
  25 PILOKM     225 TMAX            Temperatura massima aria                           GC10   P60    RILE     
  25 PILOKM     226 TMIN            Temperatura minima aria                            GC10   P60    RILE     
  26 TRLOKM     220 PRECI           Precipitazione cumulata nel periodo                DMM    P60    RILE     
  26 TRLOKM     221 TATA            Temperatura aria                                   GC10   P60    RILE     
  26 TRLOKM     222 DD              Direzione vento                                    GT     P60    RILE     
  26 TRLOKM     223 FF              Intensita' vento                                   DMSEC  P60    RILE     
  26 TRLOKM     224 UMID            Umidita' percentuale                               PERC   P60    RILE     
  26 TRLOKM     225 TMAX            Temperatura massima aria                           GC10   P60    RILE     
  26 TRLOKM     226 TMIN            Temperatura minima aria                            GC10   P60    RILE     
  27 VELOKM     220 PRECI           Precipitazione cumulata nel periodo                DMM    P60    RILE     
  27 VELOKM     221 TATA            Temperatura aria                                   GC10   P60    RILE     
  27 VELOKM     222 DD              Direzione vento                                    GT     P60    RILE     
  27 VELOKM     223 FF              Intensita' vento                                   DMSEC  P60    RILE     
  27 VELOKM     224 UMID            Umidita' percentuale                               PERC   P60    RILE     
  27 VELOKM     225 TMAX            Temperatura massima aria                           GC10   P60    RILE     
  27 VELOKM     226 TMIN            Temperatura minima aria                            GC10   P60    RILE     
  28 SALOKM     220 PRECI           Precipitazione cumulata nel periodo                DMM    P60    RILE     
  28 SALOKM     221 TATA            Temperatura aria                                   GC10   P60    RILE     
  28 SALOKM     222 DD              Direzione vento                                    GT     P60    RILE     
  28 SALOKM     223 FF              Intensita' vento                                   DMSEC  P60    RILE     
  28 SALOKM     224 UMID            Umidita' percentuale                               PERC   P60    RILE     
  28 SALOKM     225 TMAX            Temperatura massima aria                           GC10   P60    RILE     
  28 SALOKM     226 TMIN            Temperatura minima aria                            GC10   P60    RILE     
  29 LOLOKM     220 PRECI           Precipitazione cumulata nel periodo                DMM    P60    RILE     
  29 LOLOKM     221 TATA            Temperatura aria                                   GC10   P60    RILE     
  29 LOLOKM     222 DD              Direzione vento                                    GT     P60    RILE     
  29 LOLOKM     223 FF              Intensita' vento                                   DMSEC  P60    RILE     
  29 LOLOKM     224 UMID            Umidita' percentuale                               PERC   P60    RILE     
  29 LOLOKM     225 TMAX            Temperatura massima aria                           GC10   P60    RILE     
  29 LOLOKM     226 TMIN            Temperatura minima aria                            GC10   P60    RILE     
  30 MALOKM     220 PRECI           Precipitazione cumulata nel periodo                DMM    P60    RILE     
  30 MALOKM     221 TATA            Temperatura aria                                   GC10   P60    RILE     
  30 MALOKM     222 DD              Direzione vento                                    GT     P60    RILE     
  30 MALOKM     223 FF              Intensita' vento                                   DMSEC  P60    RILE     
  30 MALOKM     224 UMID            Umidita' percentuale                               PERC   P60    RILE     
  30 MALOKM     225 TMAX            Temperatura massima aria                           GC10   P60    RILE     
  30 MALOKM     226 TMIN            Temperatura minima aria                            GC10   P60    RILE     
  31 FRLOKM     220 PRECI           Precipitazione cumulata nel periodo                DMM    P60    RILE     
  31 FRLOKM     221 TATA            Temperatura aria                                   GC10   P60    RILE     
  31 FRLOKM     222 DD              Direzione vento                                    GT     P60    RILE     
  31 FRLOKM     223 FF              Intensita' vento                                   DMSEC  P60    RILE     
  31 FRLOKM     224 UMID            Umidita' percentuale                               PERC   P60    RILE     
  31 FRLOKM     225 TMAX            Temperatura massima aria                           GC10   P60    RILE     
  31 FRLOKM     226 TMIN            Temperatura minima aria                            GC10   P60    RILE     
  32 IDROPO     158 TATA            Temperatura aria                                   GC     P5     RILE     
  32 IDROPO     159 PRECI           Precipitazione cumulata nel periodo                MM     P30    RILE     
  32 IDROPO     160 PRECI           Precipitazione cumulata nel periodo                MM     P60    RILE     
  32 IDROPO     161 IDRO            Livello idrometrico                                M      P5     RILE     
  32 IDROPO     162 SSM             strato nevoso                                      M      P5     RILE     
  32 BZLOKM     220 PRECI           Precipitazione cumulata nel periodo                DMM    P60    RILE     
  32 BZLOKM     221 TATA            Temperatura aria                                   GC10   P60    RILE     
  32 BZLOKM     222 DD              Direzione vento                                    GT     P60    RILE     
